Theoritical theta	Error rate	mu	Execution time
3200.0	0.9863819020411375	0.008	0.689
3200.0	1.015734118434508	0.008	0.689
3200.0	0.9706335667615895	0.008	0.689
3200.0	0.9979083431819131	0.008	0.689
3200.0	1.0283327866581464	0.008	0.689
3200.0	1.0233067222072267	0.008	0.689
3200.0	0.9772679718368034	0.008	0.689
3200.0	1.0057490037253478	0.008	0.689
3200.0	1.0292039711629724	0.008	0.689
3200.0	0.9974392438331605	0.008	0.689
3200.0	1.01935288483917	0.008	0.689
3200.0	0.9678859848617535	0.008	0.689
3200.0	1.0137907068468188	0.008	0.689
3200.0	1.0084965856251837	0.008	0.689
3200.0	1.0209612254634641	0.008	0.689
3200.0	0.9836343201413016	0.008	0.689
3200.0	1.008161514661789	0.008	0.689
3200.0	1.0058830321107055	0.008	0.689
3200.0	0.9762627589466194	0.008	0.689
3200.0	0.9993826554208495	0.008	0.689
3200.0	1.0188837854904174	0.008	0.689
3200.0	1.0190848280684544	0.008	0.689
3200.0	1.0172084306734444	0.008	0.689
3200.0	0.987789200087395	0.008	0.689
3200.0	0.987789200087395	0.008	0.689
3200.0	1.0304772408238718	0.008	0.689
3200.0	0.9979083431819131	0.008	0.689
3200.0	1.0030684360181905	0.008	0.689
3200.0	0.964602289420486	0.008	0.689
3200.0	1.0030014218255117	0.008	0.689
3200.0	1.0134556358834244	0.008	0.689
3200.0	0.9755256028271512	0.008	0.689
3200.0	1.007491372735	0.008	0.689
3200.0	0.9653394455399542	0.008	0.689
3200.0	0.9690252261372951	0.008	0.689
3200.0	0.9833662633705857	0.008	0.689
3200.0	0.9892635123263314	0.008	0.689
3200.0	1.0329567659529924	0.008	0.689
3200.0	1.0250490912168788	0.008	0.689
3200.0	1.0131875791127087	0.008	0.689
3200.0	0.9875211433166793	0.008	0.689
3200.0	1.0418026393866107	0.008	0.689
3200.0	1.0050118476058794	0.008	0.689
3200.0	1.0059500463033844	0.008	0.689
3200.0	0.9949597187040402	0.008	0.689
3200.0	1.037915816211233	0.008	0.689
3200.0	0.9786082556903818	0.008	0.689
3200.0	1.0182806577563073	0.008	0.689
3200.0	0.9697623822567634	0.008	0.689
3200.0	1.0209612254634641	0.008	0.689
3200.0	1.01560009004915	0.008	0.689
3200.0	1.0186827429123806	0.008	0.689
3200.0	1.0151309907003976	0.008	0.689
3200.0	0.9940885341992143	0.008	0.689
3200.0	1.0058160179180264	0.008	0.689
3200.0	1.03309079433835	0.008	0.689
3200.0	0.9995166838062073	0.008	0.689
3200.0	0.9970371586770871	0.008	0.689
3200.0	0.9997177263842442	0.008	0.689
3200.0	1.015667104241829	0.008	0.689
3200.0	0.9776700569928769	0.008	0.689
3200.0	1.0367765749356912	0.008	0.689
3200.0	0.9805516672780707	0.008	0.689
3200.0	0.9995166838062073	0.008	0.689
3200.0	1.003604549559622	0.008	0.689
3200.0	0.9883253136288265	0.008	0.689
3200.0	1.0093677701300097	0.008	0.689
3200.0	1.0001198115403178	0.008	0.689
3200.0	0.9859128026923849	0.008	0.689
3200.0	0.9790773550391344	0.008	0.689
3200.0	1.000722939274428	0.008	0.689
3200.0	0.9894645549043681	0.008	0.689
3200.0	1.0256522189509891	0.008	0.689
3200.0	0.9866499588118532	0.008	0.689
4800.0	1.028399800850825	0.012	1.134
4800.0	1.012495099121693	0.012	1.134
4800.0	1.0001644876687703	0.012	1.134
4800.0	0.9837236723982068	0.012	1.134
4800.0	1.0092784178731045	0.012	1.134
4800.0	1.0204921261147117	0.012	1.134
4800.0	1.0068212308082105	0.012	1.134
4800.0	1.0105293494697778	0.012	1.134
4800.0	0.9917206993912253	0.012	1.134
4800.0	0.9814898659755757	0.012	1.134
4800.0	0.9897996258677629	0.012	1.134
4800.0	0.9835896440128488	0.012	1.134
4800.0	1.013433297819198	0.012	1.134
4800.0	1.0075360488634524	0.012	1.134
4800.0	1.0247810344461632	0.012	1.134
4800.0	0.9692039306511057	0.012	1.134
4800.0	1.0181689674351755	0.012	1.134
4800.0	0.9951607612820772	0.012	1.134
4800.0	1.0019068566784224	0.012	1.134
4800.0	1.0135226500761032	0.012	1.134
4800.0	1.029606056319046	0.012	1.134
4800.0	1.0109314346258516	0.012	1.134
4800.0	1.0150863145719449	0.012	1.134
4800.0	1.0015047715223488	0.012	1.134
4800.0	1.0410431452029163	0.012	1.134
4800.0	0.995741550951961	0.012	1.134
4800.0	1.0044533960002215	0.012	1.134
4800.0	1.0150416384434924	0.012	1.134
4800.0	1.025853261529026	0.012	1.134
4800.0	1.0179455867929124	0.012	1.134
4800.0	0.9956968748235084	0.012	1.134
4800.0	0.9997624025126968	0.012	1.134
4800.0	0.9870297059037005	0.012	1.134
4800.0	1.0159798371409974	0.012	1.134
4800.0	1.0054362708261793	0.012	1.134
4800.0	1.0147735816727765	0.012	1.134
4800.0	1.0091443894877465	0.012	1.134
4800.0	1.014505524902061	0.012	1.134
4800.0	1.0141927920028926	0.012	1.134
